logged_at,heure,jour_semaine,is_weekend,station_dep,station_arr,lignes,affluence_score,climatisation_score,accessibilite_score,correspondances_score,equipements_score,nb_correspondances,meteo_temperature,meteo_precipitation,score_confort
2026-07-20T14:27:05.190340+00:00,8,0,0,Vincennes,La Défense,A,0.0,6,7,10,10,0,23.2,0.0,5.6
2026-07-20T14:27:05.465303+00:00,8,0,0,Vincennes,La Défense,A,0.0,6,7,10,10,0,23.2,0.0,5.6
2026-07-20T14:27:05.762938+00:00,8,0,0,Vincennes,La Défense,1,0.0,10,7,10,10,0,23.2,0.0,5.6
2026-07-20T14:27:10.400989+00:00,12,0,0,Vincennes,La Défense,A,6.4,6,7,10,10,0,23.2,0.0,7.8
2026-07-20T14:27:10.705399+00:00,12,0,0,Vincennes,La Défense,A,6.4,6,7,10,10,0,23.2,0.0,7.8
2026-07-20T14:27:11.037818+00:00,12,0,0,Vincennes,La Défense,1,5.5,10,7,10,10,0,23.2,0.0,7.5
2026-07-20T14:27:15.259943+00:00,17,0,0,Vincennes,La Défense,A,0.0,6,7,10,10,0,23.2,0.0,5.6
2026-07-20T14:27:15.581033+00:00,17,0,0,Vincennes,La Défense,A,0.0,6,7,10,10,0,23.2,0.0,5.6
2026-07-20T14:27:15.880185+00:00,17,0,0,Vincennes,La Défense,1,0.0,10,7,10,10,0,23.2,0.0,5.6
2026-07-20T14:27:20.263187+00:00,20,0,0,Vincennes,La Défense,A,3.4,6,7,10,10,0,23.2,0.0,6.8
2026-07-20T14:27:20.602730+00:00,20,0,0,Vincennes,La Défense,A,3.4,6,7,10,10,0,23.2,0.0,6.8
2026-07-20T14:27:20.935084+00:00,20,0,0,Vincennes,La Défense,1,4.5,10,7,10,10,0,23.2,0.0,7.2
2026-07-20T14:27:27.081991+00:00,8,0,0,Châtelet - Les Halles,Nation,D|1,1.7,6,7,7,10,1,23.2,0.0,5.6
2026-07-20T14:27:28.037142+00:00,8,0,0,Châtelet - Les Halles,Nation,1,1.7,10,7,10,10,0,23.2,0.0,6.2
2026-07-20T14:27:35.872724+00:00,8,0,0,Châtelet - Les Halles,Nation,,1.1,5,7,10,2,0,23.2,0.0,4.8
2026-07-20T14:27:39.994929+00:00,12,0,0,Châtelet - Les Halles,Nation,A|1,5.9,6,7,7,10,1,23.2,0.0,7.1
2026-07-20T14:27:40.396083+00:00,12,0,0,Châtelet - Les Halles,Nation,1,5.9,10,7,10,10,0,23.2,0.0,7.7
